dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,lof,default,,0.63722,0.56863,0.99276,0.76471,0.18,,1594.1,6321,1,0.05679,ok
smd,machine-1-1,server,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 8}",0.55444,0.62435,0.91935,0.7619,14.23,59.21,0.0,28479,38,0.0946,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,knn,default,,0.67853,0.62588,0.99246,0.76667,0.14,,1594.1,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,ae,default,,0.70543,0.63665,0.99325,0.77632,0.59,,1601.0,6321,1,0.05679,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,chronos_small_resid,default,,0.17087,0.16213,0.81955,0.20213,0.1,,1625.9,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,chronos_small_quantile,default,,0.09332,0.11094,0.72768,1.0,0.1,,1625.9,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,chronos_base_resid,default,,0.1338,0.13217,0.83223,0.13492,0.17,,1674.4,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,chronos_base_quantile,default,,0.11872,0.12194,0.79153,1.0,0.17,,1674.4,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,timesfm_resid,default,,0.33697,0.26692,0.98444,0.31167,1.08,,2046.7,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,timesfm_quantile,default,,0.39639,0.30271,0.99573,1.0,1.08,,2046.7,3415,1,0.05007,ok
smd,machine-1-2,server,,chronos_small_resid,default,,0.29923,0.25237,0.82906,0.1429,2.8,,1738.6,23694,38,0.02287,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,tirex_resid,default,,0.28727,0.28763,0.94926,0.2767,4.62,,1689.4,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,tirex_quantile,default,,0.26771,0.20508,0.97882,1.0,4.62,,1689.4,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,iforest,default,,0.43155,0.34682,0.91466,0.49679,0.77,,1594.1,3415,1,0.05007,ok
smd,machine-1-2,server,,chronos_small_quantile,default,,0.1092,0.06902,0.72086,0.07678,2.8,,1738.6,23694,38,0.02287,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.08053,0.08864,0.76808,0.12949,0.97,5.86,0.0,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,lof,default,,0.70477,0.62205,0.99462,0.82143,0.21,,1594.1,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,lof,tuned,"{'w': 50, 'k': 50}",0.46212,0.39149,0.98751,0.58889,0.67,2.22,0.0,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,knn,default,,0.75811,0.69506,0.99265,0.85,0.08,,1594.1,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,knn,tuned,"{'w': 50, 'k': 3}",0.55102,0.48908,0.98624,0.64583,0.46,1.6,0.0,3415,1,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,ae,default,,0.70788,0.67273,0.98934,0.83333,1.63,,1600.5,3415,1,0.05007,ok
smd,machine-1-2,server,,chronos_base_resid,default,,0.29159,0.24477,0.82829,0.15232,4.81,,1970.5,23694,38,0.02287,ok
smd,machine-1-2,server,,chronos_base_quantile,default,,0.1357,0.08156,0.72206,0.09975,4.81,,1970.5,23694,38,0.02287,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.41505,0.40899,0.98431,0.55745,3.04,8.87,0.0,3415,1,0.05007,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,chronos_small_resid,default,,0.02495,0.03096,0.69089,0.02138,0.13,,1648.9,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,chronos_small_quantile,default,,0.03184,0.04072,0.69364,1.0,0.13,,1648.9,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,chronos_base_resid,default,,0.03366,0.03706,0.75707,0.02388,0.19,,1736.3,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,chronos_base_quantile,default,,0.03965,0.04473,0.76958,1.0,0.19,,1736.3,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,timesfm_resid,default,,0.34823,0.25352,0.99229,0.38258,2.18,,2046.7,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,timesfm_quantile,default,,0.09388,0.09065,0.85904,1.0,2.18,,2046.7,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,tirex_resid,default,,0.14927,0.13111,0.94972,0.17556,3.72,,1761.1,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,tirex_quantile,default,,0.02386,0.03586,0.79659,1.0,3.72,,1761.1,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,iforest,default,,0.77336,0.56325,0.99709,0.8125,1.09,,1594.1,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,lof,default,,0.87015,0.70637,0.9992,0.91667,0.2,,1594.1,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,knn,default,,0.9652,0.87082,0.99936,1.0,0.12,,1594.1,6154,1,0.02535,ok
ucr,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,DISTORTEDInternalBleeding6,,ae,default,,0.89492,0.70207,0.99933,0.91667,0.79,,1600.9,6154,1,0.02535,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,chronos_small_resid,default,,0.0221,0.03473,0.76335,0.01363,0.1,,1640.0,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,chronos_small_quantile,default,,0.04601,0.05559,0.76135,1.0,0.1,,1640.0,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,chronos_base_resid,default,,0.03885,0.05892,0.76295,0.02416,0.16,,1714.9,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,chronos_base_quantile,default,,0.04115,0.04939,0.76215,1.0,0.16,,1714.9,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,timesfm_resid,default,,0.04121,0.06258,0.69523,0.03515,1.99,,2046.7,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,timesfm_quantile,default,,0.10575,0.09783,0.66688,1.0,1.99,,2046.7,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,tirex_resid,default,,0.05899,0.13184,0.97251,0.06387,4.74,,1731.8,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,tirex_quantile,default,,0.24233,0.25632,0.9851,1.0,4.74,,1731.8,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,iforest,default,,0.01959,0.03203,0.71639,0.08333,1.15,,1594.1,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,lof,default,,0.02773,0.03366,0.70232,0.05526,0.18,,1594.1,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,knn,default,,0.05031,0.12312,0.91638,0.24962,0.12,,1594.1,5001,1,0.022,ok
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,DISTORTEDInternalBleeding8,,ae,default,,0.01322,0.02828,0.70696,0.05409,0.99,,1600.7,5001,1,0.022,ok
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,DISTORTEDInternalBleeding9,,chronos_small_resid,default,,0.01586,0.02758,0.70661,0.00667,0.11,,1624.2,3301,1,0.02514,ok
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,DISTORTEDInternalBleeding9,,chronos_small_quantile,default,,0.02208,0.03871,0.66923,1.0,0.11,,1624.2,3301,1,0.02514,ok
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,DISTORTEDInternalBleeding9,,chronos_base_resid,default,,0.01515,0.02636,0.81763,0.00694,0.18,,1672.3,3301,1,0.02514,ok
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,DISTORTEDInternalBleeding9,,chronos_base_quantile,default,,0.02356,0.03813,0.93027,1.0,0.18,,1672.3,3301,1,0.02514,ok
