dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,ae,default,,0.42588,0.33172,0.99381,0.54098,8.87,nan,42.4,45500,1,0.01431,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.13574,0.15407,0.77939,0.33592,10.2,44.76,0.0,45500,1,0.01431,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,iforest,default,,1e-05,2e-05,0.6481,0.0,11.63,nan,17.0,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,iforest,tuned,"{'w': 400, 'n_estimators': 200}",1e-05,2e-05,0.61547,0.0,34.76,12.8,0.0,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,lof,default,,1e-05,2e-05,0.51426,0.0,8.02,nan,17.0,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,lof,tuned,"{'w': 100, 'k': 10}",1e-05,2e-05,0.54605,0.0,12.76,5.1,0.0,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,knn,default,,1e-05,2e-05,0.56165,0.0,7.05,nan,17.0,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,knn,tuned,"{'w': 100, 'k': 3}",1e-05,2e-05,0.56249,0.0,12.31,4.12,0.0,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,ae,default,,1e-05,2e-05,0.58569,0.0,19.52,nan,91.7,170051,1,1e-05,ok
ucr,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250,NOISEresperation2,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 8}",1e-05,2e-05,0.60159,0.0,25.2,47.64,0.0,170051,1,1e-05,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,iforest,default,,0.00349,0.00651,0.63684,0.00052,3.79,nan,17.0,45001,1,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,iforest,tuned,"{'w': 200, 'n_estimators': 100}",0.00337,0.00626,0.63609,0.0,5.56,12.12,0.0,45001,1,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,lof,default,,0.02034,0.02561,0.65247,0.06468,2.9,nan,17.0,45001,1,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,lof,tuned,"{'w': 200, 'k': 50}",0.01481,0.02051,0.65459,0.04975,3.4,7.52,0.0,45001,1,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,knn,default,,0.01453,0.01959,0.66213,0.0437,2.01,nan,17.0,45001,1,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,knn,tuned,"{'w': 200, 'k': 5}",0.021,0.02888,0.66778,0.07277,2.82,5.37,0.0,45001,1,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,ae,default,,0.00566,0.00928,0.65821,0.01193,14.37,nan,43.0,45001,1,0.00669,ok
