dataset,series,detector,raw,detrended,ma100,detrended_ma100
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,tirex_resid,0.2880002131566286,0.3097232305881359,0.5766676670911903,0.6401469942304103
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,chronos_base_resid,0.13211622219844407,0.14775344514745037,0.262220193234288,0.3692543435717852
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,chronos_small_resid,0.16216907984069726,0.17742500987067622,0.40770227315015306,0.468366865204805
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,knn,0.6951530486488608,0.6948111337015981,0.7756532448590951,0.7756617738837226
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,lof,0.6216272194743144,0.6225710045387993,0.7177012779747791,0.7182835042466011
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,ae,0.6728140078571603,0.6721659776164781,0.7380453381024329,0.7387340299898832
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,iforest,0.34925269534722103,0.347078806596662,0.5258106090467842,0.5259142562204353
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,timesfm_resid,0.029287540815994204,0.02848309805490902,0.024554702282313406,0.02421915306071516
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,tirex_resid,0.05031188226731072,0.05010439039937226,0.05356411760683312,0.05801430867351166
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,chronos_base_resid,0.026350186305060832,0.025501386465040774,0.023844051514762758,0.02438731967425773
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,chronos_small_resid,0.027590002088453962,0.026978141780263334,0.025170706600746513,0.02616812993984744
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,knn,0.025955395231135735,0.025936280968868845,0.027470992418079335,0.02746569891581399
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,lof,0.022563332735180866,0.02205263996649083,0.021973571203235558,0.021965515863500082
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,ae,0.021083944629101944,0.02109522807522505,0.021523698338532585,0.02148950036665884
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,iforest,0.021459071018541956,0.021502972204108142,0.021926611267538743,0.02192653538553015
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,timesfm_resid,0.006031754648620963,0.008711084503904532,0.03587040722533824,0.0406535696573955
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,tirex_resid,0.005285616971325607,0.007237904226616051,0.023722339096994036,0.03215318829829242
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,chronos_base_resid,0.003483109274483364,0.0036255802581360084,0.00636477475437844,0.006650773367742386
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,chronos_small_resid,0.003734319596579124,0.004147105582811615,0.003324305081978715,0.0036150992779547912
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,knn,0.2563039049278385,0.2423785197867425,0.16207980900148536,0.1620192901884444
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,lof,0.33162709376363364,0.33102543729852446,0.2948211492084529,0.29078923802373197
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,ae,0.3218325891343008,0.3241267521623402,0.32419001356349686,0.32344921342860167
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,iforest,0.30809433201025915,0.3318948721864687,0.3166479137152577,0.3165807736209131
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,timesfm_resid,0.011089626574225837,0.011066391220342094,0.008501623673040231,0.008468185104662488
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,tirex_resid,0.011456194699607722,0.011429898188849541,0.00825895414459438,0.008246874606367551
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,chronos_base_resid,0.010725362043260486,0.010661779792718255,0.008429275467640197,0.008397748238857068
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,chronos_small_resid,0.010349833227830377,0.010312783836244569,0.00836816984895458,0.008418063682037503
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,knn,0.04176369211093396,0.041599424098424695,0.04171280936377367,0.041658025208179905
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,lof,0.011762069792472626,0.011750166580703082,0.01143282073369021,0.011437880274902739
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,ae,0.007871334409052052,0.007874589217211691,0.007934631091945473,0.00793459867704946
