detectors=['iforest', 'lof', 'knn', 'ae', 'chronos_small_resid', 'chronos_small_quantile', 'chronos_base_resid', 'chronos_base_quantile', 'timesfm_resid', 'timesfm_quantile', 'tirex_resid', 'tirex_quantile']
tiers=['default', 'tuned']
datasets=['nasa', 'smd', 'psm', 'ucr']
out=F:\CS\Paper\that\results\full_results.csv
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/143 [00:00<?, ?it/s]Loading weights:  45%|¨€¨€¨€¨€¨…     | 64/143 [00:00<00:00, 606.04it/s]Loading weights:  89%|¨€¨€¨€¨€¨€¨€¨€¨€¨ | 127/143 [00:00<00:00, 609.27it/s]Loading weights: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 143/143 [00:00<00:00, 636.00it/s]
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      default  vus=0.07104 affil=0.84449 (0.09s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      tuned    vus=0.12202 affil=0.85682 (0.45s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       default  vus=0.30912 affil=0.92249 (1.58s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       tuned    vus=0.117 affil=0.85321 (1.76s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_resid      default  vus=0.07932 affil=0.88002 (0.1s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_quantile   default  vus=0.07457 affil=0.9366 (0.1s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_resid       default  vus=0.06344 affil=0.89139 (0.4s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_quantile    default  vus=0.05337 affil=0.78571 (0.4s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_resid            default  vus=0.07389 affil=0.82876 (1.9s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_quantile         default  vus=0.03822 affil=0.75253 (1.9s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_resid              default  vus=0.06181 affil=0.90284 (4.5s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_quantile           default  vus=0.03042 affil=0.68833 (4.5s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  default  vus=0.07895 affil=0.95717 (1.26s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  tuned    vus=0.06247 affil=0.93766 (0.89s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      default  vus=0.30311 affil=0.9872 (0.23s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      tuned    vus=0.55263 affil=0.99504 (0.49s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      default  vus=0.72963 affil=0.99641 (0.1s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      tuned    vus=0.87506 affil=0.99949 (0.49s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       default  vus=0.94979 affil=0.99982 (1.62s)
[ucr] 009_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       tuned    vus=0.92358 affil=0.99927 (2.03s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_resid      default  vus=0.11177 affil=0.82917 (0.2s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_quantile   default  vus=0.13667 affil=0.99543 (0.2s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_resid       default  vus=0.09115 affil=0.84706 (0.3s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_quantile    default  vus=0.10675 affil=0.84199 (0.3s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_resid            default  vus=0.08047 affil=0.78511 (2.7s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_quantile         default  vus=0.05969 affil=0.80391 (2.7s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_resid              default  vus=0.08033 affil=0.79861 (5.9s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_quantile           default  vus=0.07837 affil=0.90881 (5.9s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  default  vus=0.03282 affil=0.76514 (1.21s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  tuned    vus=0.02568 affil=0.73286 (1.61s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      default  vus=0.20093 affil=0.82955 (0.24s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      tuned    vus=0.66531 affil=0.9957 (0.77s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      default  vus=0.63727 affil=0.99566 (0.11s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      tuned    vus=0.67588 affil=0.99674 (0.45s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       default  vus=0.82646 affil=0.99661 (1.57s)
[ucr] 010_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       tuned    vus=0.77513 affil=0.99602 (1.94s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 chronos_small_resid      default  vus=0.03992 affil=0.99901 (0.6s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 chronos_small_quantile   default  vus=0.02205 affil=0.81452 (0.6s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 chronos_base_resid       default  vus=0.04438 affil=0.8735 (0.7s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 chronos_base_quantile    default  vus=0.02769 affil=0.8129 (0.7s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 timesfm_resid            default  vus=0.09258 affil=0.99639 (6.7s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 timesfm_quantile         default  vus=0.02673 affil=0.68149 (6.7s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 tirex_resid              default  vus=0.0968 affil=0.99821 (10.7s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 tirex_quantile           default  vus=0.02769 affil=0.70707 (10.7s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 iforest                  default  vus=0.30245 affil=0.99629 (1.87s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 iforest                  tuned    vus=0.29489 affil=0.9963 (2.62s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 lof                      default  vus=0.40549 affil=0.99626 (0.77s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 lof                      tuned    vus=0.44512 affil=0.99626 (1.91s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 knn                      default  vus=0.5418 affil=0.9963 (0.44s)
[ucr] 011_UCR_Anomaly_DISTORTEDECG1_1000 knn                      tuned    vus=0.58578 affil=0.9963 (1.7s)
