dataset,series,domain,detector,auc_pr,vus_pr,event_f1,runtime_s,n_test,anomaly_frac,status
ucr,135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,InternalBleeding16,lof,0.01135,0.04023,0.05574,0.13,6301,0.00206,ok
ucr,135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,InternalBleeding16,ae,0.01064,0.04527,0.04206,0.3,6301,0.00206,ok
ucr,135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,InternalBleeding16,chronos_bolt_small,0.00208,0.01193,0.01292,0.21,6301,0.00206,ok
ucr,135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,InternalBleeding16,chronos_bolt_base,0.00284,0.01296,0.02483,0.49,6301,0.00206,ok
ucr,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,InternalBleeding5,iforest,0.63514,0.5291,0.83153,0.6,3415,0.05007,ok
ucr,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,InternalBleeding5,lof,0.74047,0.74256,0.84816,0.13,3415,0.05007,ok
ucr,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,InternalBleeding5,ae,0.73709,0.71115,0.85741,0.99,3415,0.05007,ok
ucr,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,InternalBleeding5,chronos_bolt_small,0.22497,0.20609,0.62721,0.07,3415,0.05007,ok
ucr,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,InternalBleeding5,chronos_bolt_base,0.2896,0.26008,0.64476,0.2,3415,0.05007,ok
ucr,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520,Lab2Cmac011215EPG4,iforest,0.00542,0.0072,0.02636,1.53,24066,0.00544,ok
ucr,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520,Lab2Cmac011215EPG4,lof,0.02347,0.02994,0.11308,0.48,24066,0.00544,ok
ucr,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520,Lab2Cmac011215EPG4,ae,0.00823,0.01087,0.03923,1.47,24066,0.00544,ok
ucr,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520,Lab2Cmac011215EPG4,chronos_bolt_small,0.0049,0.00771,0.11641,0.56,24066,0.00544,ok
ucr,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520,Lab2Cmac011215EPG4,chronos_bolt_base,0.00483,0.00778,0.05095,0.8,24066,0.00544,ok
ucr,154_UCR_Anomaly_PowerDemand3_16000_23405_23477,PowerDemand3,iforest,0.00304,0.00625,0.0,1.09,13931,0.00524,ok
ucr,154_UCR_Anomaly_PowerDemand3_16000_23405_23477,PowerDemand3,lof,0.02162,0.02321,0.09479,0.74,13931,0.00524,ok
ucr,154_UCR_Anomaly_PowerDemand3_16000_23405_23477,PowerDemand3,ae,0.07973,0.08778,0.2935,3.49,13931,0.00524,ok
ucr,154_UCR_Anomaly_PowerDemand3_16000_23405_23477,PowerDemand3,chronos_bolt_small,0.01409,0.02801,0.2292,0.37,13931,0.00524,ok
ucr,154_UCR_Anomaly_PowerDemand3_16000_23405_23477,PowerDemand3,chronos_bolt_base,0.02411,0.0389,0.23944,0.71,13931,0.00524,ok
ucr,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,WalkingAceleration1,iforest,0.023,0.03156,0.0,0.73,5184,0.04475,ok
ucr,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,WalkingAceleration1,lof,0.02341,0.03229,0.0,0.14,5184,0.04475,ok
ucr,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,WalkingAceleration1,ae,0.02294,0.03124,0.0,0.47,5184,0.04475,ok
ucr,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,WalkingAceleration1,chronos_bolt_small,0.03307,0.0459,0.2714,0.17,5184,0.04475,ok
ucr,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,WalkingAceleration1,chronos_bolt_base,0.03528,0.04778,0.28027,0.25,5184,0.04475,ok
ucr,167_UCR_Anomaly_gait1_20000_38500_38800,gait1,iforest,0.01187,0.0126,0.155,1.81,45000,0.00669,ok
ucr,167_UCR_Anomaly_gait1_20000_38500_38800,gait1,lof,0.37064,0.3466,0.62865,1.26,45000,0.00669,ok
ucr,167_UCR_Anomaly_gait1_20000_38500_38800,gait1,ae,0.00914,0.01077,0.06114,4.62,45000,0.00669,ok
ucr,167_UCR_Anomaly_gait1_20000_38500_38800,gait1,chronos_bolt_small,0.00646,0.01057,0.06295,0.86,45000,0.00669,ok
ucr,167_UCR_Anomaly_gait1_20000_38500_38800,gait1,chronos_bolt_base,0.00613,0.00827,0.04972,1.29,45000,0.00669,ok
ucr,173_UCR_Anomaly_insectEPG1_3000_7000_7030,insectEPG1,iforest,0.03094,0.05621,0.11617,0.72,7001,0.00443,ok
ucr,173_UCR_Anomaly_insectEPG1_3000_7000_7030,insectEPG1,lof,0.0095,0.02444,0.03572,0.19,7001,0.00443,ok
ucr,173_UCR_Anomaly_insectEPG1_3000_7000_7030,insectEPG1,ae,0.01064,0.02556,0.0434,0.8,7001,0.00443,ok
ucr,173_UCR_Anomaly_insectEPG1_3000_7000_7030,insectEPG1,chronos_bolt_small,0.00464,0.01296,0.03027,0.09,7001,0.00443,ok
ucr,173_UCR_Anomaly_insectEPG1_3000_7000_7030,insectEPG1,chronos_bolt_base,0.00571,0.0145,0.04326,0.24,7001,0.00443,ok
ucr,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800,ltstdbs30791ES,iforest,0.00409,0.00581,0.01322,1.69,35000,0.00574,ok
ucr,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800,ltstdbs30791ES,lof,0.65454,0.5985,0.69624,1.07,35000,0.00574,ok
ucr,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800,ltstdbs30791ES,ae,0.09093,0.08461,0.39208,4.11,35000,0.00574,ok
ucr,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800,ltstdbs30791ES,chronos_bolt_small,0.00853,0.01029,0.07101,0.67,35000,0.00574,ok
ucr,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800,ltstdbs30791ES,chronos_bolt_base,0.00872,0.01082,0.0648,1.16,35000,0.00574,ok
ucr,186_UCR_Anomaly_resperation1_100000_110260_110412,resperation1,iforest,0.01651,0.01373,0.08954,3.36,100000,0.00153,ok
ucr,186_UCR_Anomaly_resperation1_100000_110260_110412,resperation1,lof,0.11168,0.14553,0.30986,10.3,100000,0.00153,ok
ucr,186_UCR_Anomaly_resperation1_100000_110260_110412,resperation1,ae,0.00557,0.01048,0.05613,20.27,100000,0.00153,ok
ucr,186_UCR_Anomaly_resperation1_100000_110260_110412,resperation1,chronos_bolt_small,0.00149,0.00209,0.01287,2.06,100000,0.00153,ok
ucr,186_UCR_Anomaly_resperation1_100000_110260_110412,resperation1,chronos_bolt_base,0.00101,0.00154,0.00314,3.41,100000,0.00153,ok
ucr,193_UCR_Anomaly_s20101m_10000_35774_35874,s20101m,iforest,0.00286,0.00417,0.01275,1.53,30000,0.00337,ok
ucr,193_UCR_Anomaly_s20101m_10000_35774_35874,s20101m,lof,0.99608,0.86182,0.80478,0.75,30000,0.00337,ok
ucr,193_UCR_Anomaly_s20101m_10000_35774_35874,s20101m,ae,0.34918,0.25435,0.50809,2.69,30000,0.00337,ok
ucr,193_UCR_Anomaly_s20101m_10000_35774_35874,s20101m,chronos_bolt_small,0.00675,0.00864,0.15418,0.67,30000,0.00337,ok
ucr,193_UCR_Anomaly_s20101m_10000_35774_35874,s20101m,chronos_bolt_base,0.01348,0.01312,0.16338,1.18,30000,0.00337,ok
ucr,199_UCR_Anomaly_tiltAPB3_40000_114000_114370,tiltAPB3,iforest,0.00231,0.00282,0.0,3.27,89489,0.00415,ok
ucr,199_UCR_Anomaly_tiltAPB3_40000_114000_114370,tiltAPB3,lof,0.00688,0.00753,0.04128,3.95,89489,0.00415,ok
ucr,199_UCR_Anomaly_tiltAPB3_40000_114000_114370,tiltAPB3,ae,0.00405,0.00497,0.01353,8.59,89489,0.00415,ok
ucr,199_UCR_Anomaly_tiltAPB3_40000_114000_114370,tiltAPB3,chronos_bolt_small,0.00416,0.00511,0.03891,2.12,89489,0.00415,ok
